iter	Passed	Remaining
0	2	282
1	7	348
2	9	321
3	12	305
4	15	296
5	18	291
6	21	287
7	24	277
8	26	269
9	29	264
10	32	259
11	35	257
12	37	253
13	40	247
14	43	243
15	45	240
16	48	237
17	51	235
18	54	232
19	57	229
20	60	226
21	63	223
22	65	220
23	69	218
24	72	216
25	75	213
26	78	212
27	82	211
28	85	209
29	88	207
30	91	204
31	94	201
32	97	198
33	100	196
34	104	193
35	107	190
36	110	187
37	114	186
38	119	187
39	122	184
40	125	180
41	128	177
42	133	176
43	136	174
44	141	172
45	147	172
46	150	169
47	153	166
48	156	162
49	159	159
50	162	156
51	165	152
52	168	149
53	171	145
54	173	142
55	176	138
56	179	135
57	182	132
58	185	128
59	187	125
60	190	121
61	193	118
62	196	115
63	199	112
64	202	108
65	204	105
66	207	102
67	211	99
68	214	96
69	217	93
70	220	90
71	224	87
72	228	84
73	234	82
74	237	79
75	242	76
76	245	73
77	248	69
78	250	66
79	253	63
80	257	60
81	260	57
82	263	53
83	265	50
84	268	47
85	271	44
86	274	41
87	277	37
88	280	34
89	283	31
90	285	28
91	288	25
92	291	21
93	294	18
94	297	15
95	299	12
96	302	9
97	305	6
98	307	3
99	310	0
